0xe8b,0xe94,0x9ef,0xa0c,0xe4c,0xeb4,0xee3,0x994,
0xeab,0xecf,0xf90,0xa27,0xaaf,0xeb7,0xf07,0xf53,
0xe7f,0xf08,0xe80,0xef0,0xac0,0x990,0xf0b,0xa18,
