0xaaf,0xf53,0xf08,0xf0b,0xeb7,0xac0,0x9ef,0xa0c,
0xe80,0xe94,0xf07,0x994,0x9f0,0xe7f,0xa27,0x990,
0xeab,0xee3,0xe4c,0xef0,0xb1f,0xeb4,0xecf,0xa18,
